collection_id_namespace	collection_local_id	project_id_namespace	project_local_id
https://www.lincsproject.org/	EDS-1003	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1135	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1026	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1206	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1212	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1201	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1103	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1001	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1002	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1299	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1300	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1384	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1044	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1089	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1024	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1087	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1092	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1140	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1113	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1185	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1391	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1285	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1282	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1183	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1063	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1028	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1038	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1250	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1018	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1144	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1109	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1108	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1145	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1165	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1214	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1213	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1009	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1132	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1073	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1011	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1075	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1396	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1141	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1308	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1309	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1311	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1203	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1204	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1310	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1444	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1045	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1182	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1046	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1292	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1093	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1126	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1179	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1180	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1411	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1410	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1412	https://www.lincsproject.org/	LINCS phase 2
